response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Douglas,85 percent or higher,Cell,1,0.904,1.5171,1.3916,1.5478,2018-10-16 01:30:50
Dem,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2542,0.7734,1.2714,2018-10-16 01:31:53
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Douglas,Less than 50 percent,Cell,1,0.4128,1.7058,3.6943,1.9942,2018-10-16 01:32:29
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Adams,Less than 50 percent,Cell,0,0.34,0.75,2.3727,0.1937,2018-10-16 01:32:56
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.9513,0.879,0.7781,0.892,2018-10-16 01:34:53
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.8361,0.5317,0.8476,2018-10-16 01:35:29
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Adams,85 percent or higher,Cell,1,0.9523,0.9176,0.6829,0.9311,2018-10-16 01:37:26
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,[DO NOT READ] Don't know/Refused,White,Adams,85 percent or higher,Cell,1,0.965,0.7496,0.5745,0.7536,2018-10-16 01:37:35
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.9231,1.0038,0.7085,1.0216,2018-10-16 01:38:02
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.7336,0.4739,0.7437,2018-10-16 01:41:53
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.957,0.8189,0.6902,0.8306,2018-10-16 01:44:11
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Adams,85 percent or higher,Cell,1,0.965,0.6818,0.5262,0.6912,2018-10-16 01:46:43
Rep,18 to 34,Bachelors' degree,Unknown,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Unknown,Adams,50 to 85 percent,Cell,1,0.717,0.7304,0.8153,0.7708,2018-10-16 01:47:01
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,0.8889,0.965,0.8461,0.5629,0.8543,2018-10-16 01:47:01
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9264,0.5965,0.9391,2018-10-16 01:49:25
3,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Adams,50 to 85 percent,Cell,1,0.7747,1.2919,1.4159,1.3468,2018-10-16 01:50:10
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.869,0.5619,0.881,2018-10-16 01:52:25
Rep,[DO NOT READ] Refused,High school,White,Female,White,Don't know,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,0,0.9483,1.3418,1.0034,0.9491,2018-10-16 01:52:52
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,1,0.648,0.6767,0.6507,0.7264,2018-10-16 01:54:49
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Aurora,85 percent or higher,Landline,1,0.965,0.9836,0.6495,0.9889,2018-10-16 01:56:01
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.8795,0.5949,0.8916,2018-10-16 02:02:31
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.6569,0.9173,0.9487,0.9823,2018-10-16 02:08:31
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Adams,85 percent or higher,Landline,1,0.9049,0.7256,0.547,0.7401,2018-10-16 02:10:28
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Douglas,85 percent or higher,Cell,1,0.965,1.669,1.2675,1.692,2018-10-16 02:12:16
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.6954,0.4528,0.705,2018-10-16 02:13:10
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Douglas,85 percent or higher,Landline,1,0.8689,1.8796,1.5542,1.9272,2018-10-16 02:14:40
Und,18 to 34,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,Unknown,Aurora,Less than 50 percent,Cell,0.4444,0.4273,0.7252,1.4611,0.5979,2018-10-16 02:19:09
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,0.8889,0.9342,1.1576,0.7647,1.1522,2018-10-16 02:20:21
Dem,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,1,0.3761,0.8257,2.0636,0.984,2018-10-16 02:21:42
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Douglas,85 percent or higher,Cell,1,0.965,1.7644,1.5263,1.7886,2018-10-16 02:24:06
Rep,35 to 49,Bachelors' degree,Asian,Male,Asian,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,4-year College Grad.,Other Non-White,Aurora,Less than 50 percent,Cell,1,0.3908,1.1132,2.2077,1.3161,2018-10-16 02:26:39
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.7763,0.654,0.7869,2018-10-16 02:29:48
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,1,0.703,0.9718,0.7988,1.0289,2018-10-16 02:30:51
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9535,0.7196,0.9666,2018-10-16 02:31:00
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,1,0.6323,0.7572,0.7169,0.8163,2018-10-16 02:35:07
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.8321,0.6303,0.8435,2018-10-16 02:38:52
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Douglas,50 to 85 percent,Landline,1,0.5815,1.5968,1.7772,1.6553,2018-10-16 02:38:52
Und,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Already voted,or as a member of another political party,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Douglas,85 percent or higher,Cell,1,0.965,1.7141,1.2653,1.7475,2018-10-16 02:39:10
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,0.4444,0.685,1.0364,0.883,0.772,2018-10-16 02:40:22
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Adams,Less than 50 percent,Cell,1,0.4703,0.7927,1.6572,0.843,2018-10-16 02:45:28
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Douglas,85 percent or higher,Cell,1,0.9307,1.7085,1.4926,1.7374,2018-10-16 02:52:35
Dem,18 to 34,Some college or trade school,White,Male,Asian,Approve,Don't know,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.6833,0.8251,0.9174,0.8777,2018-10-16 02:55:26
Rep,35 to 49,High school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Aurora,50 to 85 percent,Cell,0.7778,0.533,0.8878,1.218,0.9273,2018-10-16 02:59:38
3,18 to 34,High school,White,Male,White,Don't know,Dems. take House,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,Less than 50 percent,Cell,0.6667,0.287,1.0251,3.2255,0.7561,2018-10-16 03:00:23
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,Postgraduate Degree,Other Non-White,Aurora,85 percent or higher,Cell,1,0.9167,0.8312,0.7046,0.8466,2018-10-16 03:00:59
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9421,0.6797,0.9551,2018-10-16 03:01:17
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Douglas,85 percent or higher,Cell,1,0.965,1.8417,1.5033,1.8671,2018-10-16 03:01:26
Dem,50 to 64,High school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Hispanic,Adams,85 percent or higher,Cell,1,0.965,1.0816,0.9764,1.0874,2018-10-16 03:08:49
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,Unknown,Adams,85 percent or higher,Cell,1,0.9578,0.9594,0.7264,0.9731,2018-10-16 03:18:07
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,50 to 85 percent,Cell,1,0.8307,0.8188,0.7541,0.8448,2018-10-16 03:28:35
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Douglas,85 percent or higher,Cell,1,0.965,1.669,1.2675,1.692,2018-10-16 03:30:05
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.9599,0.8068,0.5473,0.8182,2018-10-16 03:36:55
4,[DO NOT READ] Refused,Some college or trade school,Unknown,Male,Hispanic,Approve,Don't know,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,0.4444,0.6966,0.9885,1.0992,0.7414,2018-10-16 18:03:15
Rep,65 and older,High school,Black,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Other Non-White,Aurora,85 percent or higher,Cell,1,0.965,1.245,0.9815,1.2622,2018-10-16 18:12:33
Und,18 to 34,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,1,0.3576,0.871,2.2714,1.0492,2018-10-17 00:33:12
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Adams,Less than 50 percent,Cell,1,0.3759,0.6917,1.67,0.8245,2018-10-17 00:33:57
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Hispanic,Aurora,85 percent or higher,Cell,1,0.8779,1.161,0.9847,1.1888,2018-10-17 00:34:15
Dem,65 and older,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.8946,0.9719,0.6618,0.9928,2018-10-17 00:35:27
Und,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Aurora,Less than 50 percent,Cell,1,0.4151,1.1986,2.5351,1.3997,2018-10-17 00:37:06
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Don't know,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5158,1.0647,1.5323,1.1192,2018-10-17 00:43:15
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,1,0.8355,0.937,0.8757,0.966,2018-10-17 00:43:51
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9357,0.9264,0.6152,0.9415,2018-10-17 00:46:28
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Douglas,85 percent or higher,Cell,1,0.965,1.576,1.3993,1.5977,2018-10-17 00:48:34
Rep,50 to 64,Some college or trade school,White,Male,Other,Disapp.,Don't know,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Adams,50 to 85 percent,Cell,1,0.8481,0.7878,0.699,0.8104,2018-10-17 00:49:19
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9026,1.0037,0.6663,1.0241,2018-10-17 00:53:04
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Unknown,Aurora,85 percent or higher,Cell,1,0.965,0.8471,0.6755,0.8588,2018-10-17 00:53:49
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Douglas,85 percent or higher,Cell,1,0.941,1.6254,1.6226,1.651,2018-10-17 00:57:39
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8937,0.7668,0.5745,0.7932,2018-10-17 01:03:54
4,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,18 to 29,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,0.1111,0.4366,0.8039,1.7805,0.2577,2018-10-17 01:07:57
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.5304,0.3901,0.5377,2018-10-17 01:07:57
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,1.0523,0.8281,1.058,2018-10-17 01:08:24
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.9719,0.6135,0.9908,2018-10-17 01:08:33
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Adams,50 to 85 percent,Cell,1,0.6936,0.7955,0.7488,0.8103,2018-10-17 01:11:06
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,Less than 50 percent,Cell,1,0.4132,0.7291,1.2848,0.8521,2018-10-17 01:13:39
4,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Aurora,50 to 85 percent,Cell,1,0.6594,0.6791,0.6405,0.7268,2018-10-17 01:15:36
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Aurora,Less than 50 percent,Cell,1,0.3899,0.9297,1.7634,1.0997,2018-10-17 01:19:57
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,0.8889,0.8013,1.0091,0.7562,1.0319,2018-10-17 01:20:24
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Douglas,Less than 50 percent,Landline,0.6667,0.4333,1.4875,3.4992,1.383,2018-10-17 01:23:42
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,1,0.8283,0.8575,0.6419,0.86240000000000006,2018-10-17 01:26:42
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Douglas,85 percent or higher,Cell,1,0.9308,1.2681,1.056,1.2724,2018-10-17 01:28:03
